Names,Runs,Innings,Average
"Monte Lynch
",8,3,2.66
"Kim Barnett
",84,1,84.00
"Robin Smith
","2,419",71,39.01
"Steve Rhodes 
",107,9,17.83
"Angus Fraser
",141,42,12.81
"Alec Stewart 
","4,677",170,31.60
"Nasser Hussain 
","2,332",88,30.28
"Chris Lewis
",374,53,14.38
"Devon Malcolm
",9,10,3.00
"Michael Atherton 
","1,791",54,35.11
"John Morris
",167,8,23.85
"Martin Bicknell
",96,7,24.00
"Phil Tufnell
",15,20,15.00
"Graeme Hick
","3,846",120,37.33
"Richard Illingworth
",68,25,11.33
"Mark Ramprakash
",376,18,28.65
"David Lawrence
",–,1,–
"Dermot Reeve
",291,29,24.25
"Richard Blakey 
",25,3,12.50
"Dominic Cork
",180,32,10.00
"Ian Salisbury
",7,4,7.00
"Paul Taylor
",1,1,1.00
"Andrew Caddick
",249,54,12.45
"Graham Thorpe 
","2,380",82,37.18
"Alan Igglesden
",20,4,10.00
"Matthew Maynard
",156,14,14.18
"Steve Watkin
",4,4,2.00
"Darren Gough
",609,158,12.42
"Shaun Udal
",35,11,11.66
"Joey Benjamin
",0,2,0.00
"Craig White
",568,51,15.77
"John Crawley 
",235,13,21.36
"Peter Martin
",38,20,6.33
"Alan Wells
",15,1,15.00
"Neil Smith
",100,7,20.00
"Mike Watkinson
",–,1,–
"Ali Brown
",354,16,22.12
"Mark Ealham
",716,64,17.46
"Ronnie Irani
",360,31,14.40
"Robert Croft
",345,50,14.37
"Dean Headley
",22,13,11.00
"Nick Knight
","3,637",100,40.41
"Graham Lloyd
",39,6,9.75
"Alan Mullally
",86,50,5.73
"Adam Hollioake 
",606,35,25.25
"Chris Silverwood
",17,7,4.25
"Ashley Giles
",385,62,17.50
"Ben Hollioake
",309,20,20.60
"Dougie Brown
",99,9,24.75
"Matthew Fleming
",139,11,15.44
"Chris Adams
",71,5,17.75
"Darren Maddy
",113,8,18.83
"Ian Austin
",34,9,6.80
"Mark Alleyne
",151,10,21.57
"Vince Wells
",141,9,20.14
"Andrew Flintoff 
","3,293",138,31.97
"Chris Read 
",300,36,17.64
"Vikram Solanki
","1,097",51,26.75
"Graeme Swann
",500,79,13.88
"Marcus Trescothick 
","4,335",123,37.37
"Paul Franks
",4,1,4.00
"Paul Grayson
",6,2,3.00
"Michael Vaughan 
","1,982",86,27.15
"Paul Collingwood 
","5,092",197,35.36
"Owais Shah
","1,834",71,30.56
"James Foster 
",41,11,13.66
"Matthew Hoggard
",17,26,4.25
"James Kirtley
",2,11,1.00
"Jeremy Snape
",118,10,29.50
"Ryan Sidebottom
",133,25,13.30
"Alex Tudor
",9,3,9.00
"Ian Blackwell
",403,34,14.92
"Gareth Batty
",30,10,5.00
"James Anderson
",273,194,7.58
"Steve Harmison
",91,58,8.27
"Rikki Clarke
",144,20,11.07
"Anthony McGrath
",166,14,16.60
"Jim Troughton
",36,6,9.00
"Richard Johnson
",16,10,5.33
"Robert Key
",54,5,10.80
"Kabir Ali
",93,14,15.50
"Andrew Strauss 
","4,205",127,35.63
"Geraint Jones 
",815,49,24.69
"Sajid Mahmood
",85,26,7.72
"Alex Wharf
",19,13,9.50
"Ian Bell
","5,416",161,37.87
"Kevin Pietersen 
","4,422",134,41.32
"Simon Jones
",1,8,1.00
